Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
7,1,1,5,20,7427,7401,25,2626,4.024582863,19.42681885
7,1,1,5,21,7912,7885,27,2634,4.0368433,14.32305145
7,1,1,5,22,8311,8285,25,2626,4.024582863,14.65645695
7,1,1,5,23,8755,8726,29,2629,4.029180527,17.16297531
7,1,1,5,24,9390,9361,29,2632,4.033778191,15.16493225
7,1,1,5,25,9590,9557,33,2630,4.030713081,14.94037247
7,1,1,5,26,10066,10035,31,2630,4.030713081,14.33089638
7,1,1,5,27,10579,10544,34,2627,4.026115417,13.48554611
7,1,1,5,28,10934,10902,32,2627,4.026115417,17.13044167
7,1,1,5,29,11452,11417,35,2631,4.032245636,18.23305321
7,1,1,5,30,12025,11985,39,2630,4.030713081,13.84107494
7,1,1,5,1,326,325,1,2631,4.03224563598633,16.5641403198242
7,1,1,5,2,656,653,2,2632,4.03377819061279,12.7718086242676
7,1,1,5,3,968,965,3,2632,4.03377819061279,15.9375782012939
7,1,1,5,4,1330,1325,4,2634,4.03684329986572,14.5062561035156
7,1,1,5,5,1665,1657,8,2636,4.03990888595581,12.8099889755249
7,1,1,5,6,2010,1996,14,2636,4.03990888595581,14.1491088867188
7,1,1,5,7,2430,2422,8,2635,4.03837585449219,11.6422853469849
7,1,1,5,8,2746,2737,9,2632,4.03377819061279,14.4792795181274
7,1,1,5,9,3103,3093,10,2636,4.03990888595581,13.7516975402832
7,1,1,5,10,3464,3453,11,2634,4.03684329986572,14.9090881347656
7,1,1,5,11,3840,3827,12,2636,4.03990888595581,14.3767194747925
7,1,1,5,12,4292,4275,16,2635,4.03837585449219,9.10915851593018
7,1,1,5,13,4591,4576,14,2635,4.03837585449219,16.4160671234131
7,1,1,5,14,4913,4898,15,2638,4.04297399520874,13.7122554779053
7,1,1,5,15,5375,5358,17,2631,4.03224563598633,16.6234321594238
7,1,1,5,16,5759,5737,21,2633,4.03531074523926,15.8994121551514
7,1,1,5,17,6188,6161,27,2637,4.04144144058228,13.8780088424683
7,1,1,5,18,6564,6539,24,2633,4.03531074523926,17.9738712310791
7,1,1,5,19,6974,6951,22,2629,4.0291805267334,11.8357410430908
7,1,1,5,20,7400,7376,23,2636,4.03990888595581,14.2938938140869
7,1,1,5,21,8001,7977,24,2636,4.03990888595581,13.8261022567749
