Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
14,1,3,10,10,25621,25604,16,2502,3.83454155921936,10.5474147796631
14,1,3,10,11,27699,27681,17,2512,3.84986734390259,10.3176136016846
14,1,3,10,12,28273,28248,25,2516,3.85599780082703,7.10043907165527
14,1,3,10,13,28800,28778,21,2532,3.88051915168762,11.4747638702393
14,1,3,10,14,29530,29507,23,2537,3.88818216323853,9.5962495803833
14,1,3,10,15,31105,31079,25,2543,3.89737772941589,11.0775337219238
14,1,3,10,16,31823,31793,29,2552,3.91117095947266,12.1654491424561
14,1,3,10,17,33083,33055,28,2559,3.92189908027649,12.8737554550171
14,1,3,10,18,34381,34351,30,2563,3.92802953720093,14.5508136749268
14,1,3,10,19,35580,35547,32,2552,3.91117095947266,10.1208791732788
14,1,3,10,20,38443,38408,34,2567,3.93415999412537,14.2918424606323
14,1,3,10,21,38016,37980,35,2557,3.91883397102356,13.2372646331787
14,1,3,10,22,38907,38870,37,2560,3.92343187332153,11.1928987503052
14,1,3,10,23,40360,40321,39,2565,3.93109464645386,13.0813779830933
14,1,3,10,24,42723,42682,40,2566,3.93262720108032,11.0594959259033
14,1,3,10,25,44162,44119,43,2584,3.96021389961243,10.4290809631348
14,1,3,10,26,49283,49230,52,2573,3.94335556030273,12.5591564178467
14,1,3,10,27,47376,47331,45,2575,3.94642066955566,9.7535228729248
14,1,3,10,28,47194,47140,53,2591,3.97094202041626,13.1243944168091
14,1,3,10,29,49549,49489,59,2558,3.92036652565002,11.7891864776611
14,1,3,10,30,52660,52607,52,2573,3.94335556030273,13.358738899231
16,1,4,11,1,17383,17380,2,2463,3.77477049827576,9.9932165145874
16,1,4,11,2,19462,19459,3,2467,3.7809009552002,11.0524978637695
16,1,4,11,3,19592,19587,5,2470,3.78549861907959,9.44461822509766
16,1,4,11,4,20932,20925,7,2472,3.78856372833252,10.825647354126
16,1,4,11,5,23398,23383,14,2478,3.79775929450989,11.1137104034424
16,1,4,11,6,23021,23011,10,2481,3.80235719680786,10.1396312713623
16,1,4,11,7,25086,25073,12,2484,3.80695486068726,9.92782306671143
16,1,4,11,8,25787,25773,14,2496,3.82534599304199,10.1435356140137
16,1,4,11,9,26774,26758,16,2507,3.84220457077026,10.5195407867432
16,1,4,11,10,28519,28495,24,2504,3.83760666847229,12.0247278213501
16,1,4,11,11,29747,29720,27,2515,3.85446524620056,10.9541912078857
16,1,4,11,12,30810,30782,28,2526,3.87132358551025,9.43862152099609
16,1,4,11,13,32685,32661,23,2533,3.88205194473267,6.52777624130249
16,1,4,11,14,35104,35078,25,2535,3.8851170539856,10.3030090332031
16,1,4,11,15,38583,38555,27,2539,3.89124727249146,10.3408374786377
16,1,4,11,16,35190,35160,30,2553,3.9127037525177,11.9647636413574
16,1,4,11,17,37586,37554,31,2560,3.92343187332153,10.0719022750854
16,1,4,11,18,39298,39264,33,2568,3.93569254875183,12.0771636962891
16,1,4,11,19,44914,44879,35,2562,3.92649698257446,9.39650726318359
16,1,4,11,20,40147,40110,37,2553,3.9127037525177,14.1970052719116
16,1,4,11,21,44461,44422,39,2569,3.9372251033783,11.0301809310913
16,1,4,11,22,43527,43485,42,2565,3.93109464645386,10.9969663619995
16,1,4,11,23,45292,45249,43,2571,3.94029021263123,15.756046295166
16,1,4,11,24,47381,47336,44,2570,3.93875765800476,10.8796644210815
16,1,4,11,25,51370,51322,47,2574,3.9448881149292,13.4319829940796
16,1,4,11,26,50261,50208,53,2574,3.9448881149292,11.2237167358398
16,1,4,11,27,50435,50384,50,2592,3.97247457504272,10.539026260376
16,1,4,11,28,53125,53064,61,2586,3.96327924728394,10.0827722549438
16,1,4,11,29,58394,58337,57,2592,3.97247457504272,11.4855470657349
16,1,4,11,30,57703,57643,59,2583,3.95868134498596,9.93162250518799
17,1,4,12,1,18984,18981,2,2486,3.81001996994019,11.402606010437
17,1,4,12,2,21183,21179,3,2492,3.81921553611755,11.1357898712158
17,1,4,12,3,23583,23578,5,2494,3.82228088378906,10.6765394210815
17,1,4,12,4,25998,25990,7,2494,3.82228088378906,12.8150148391724
17,1,4,12,5,26087,26077,10,2503,3.83607411384583,9.39087963104248
