Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,-,Energy,5638,Meganiese Ingenieurswese TRF 1,Elster,Kocos,A1140,48125304,LiMo R2,4854,104,1,199c,MEGANIESE ingenieurswese incomer 1,-33.92871927,18.86584209,146.232.146.140,8088,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,DB-G,Energy,3610,DB-G,Elster,Kocos,A1140,38146609,LiMo R2,4854,104,1,199c,DB-G,-33.92869803,18.86578934,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,DB-J,Energy,3612,DB-J,Elster,Kocos,A1140,38146604,LiMo R2,4854,104,1,199c,DB-J,-33.92870953,18.86579549,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,DB-K,Energy,3609,DB-K,Elster,Kocos,A1140,38146605,LiMo R2,4854,104,1,199C,DB-K,-33.92869553,18.86577928,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,NIEB Hooftoevoer,Energy,6776,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,NIEB Hooftoevoer,Energy,2878,NIEB Verkiller,Elster,Kocos,A1140,68509059,LiMo R2,4854,126,-,On roof,NIEB verkiller,-33.92935539,18.86575458,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,NIEB Hooftoevoer,Energy,2881,NIEB HVAC,Elster,Kocos,A1140,78520208,LiMo R2,4854,126,1,B1016,NIEB HVAC,-33.92931628,18.86564819,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,NIEB Hooftoevoer,Energy,3611,NIEB Hooftoevoer,Elster,Kocos,A1140,38146610,LiMo R2,4854,104,1,199c,Nieb hooftoevoer,-33.92870295,18.86579683,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,Process Engineering,Energy,3069,Process Engineering,Elster,Kocos,A1140,58500436,LiMo R2,4854,104,1,199c,Process Engineering,-33.92870183,18.86577671,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 2,-,Energy,6232,Meganiese Ingenieurswese TRF 2,Elster,Kocos,A1140,48124720,LiMo R2,4854,104,1,-,Meganiese ingenieurswese incomer 2,-33.92870573,18.86578744,146.232.146.140,8097,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Siviele Ingenieurswese (Substasie Skakelbord),-,Energy,2649,Siviele Ingenieurswese (Substasie Skakelbord),Elster,Kocos,A1700,51500274,LiMo R2,3385,104,1,S103A,Siviele ingenieurswese substasie skakelbord,-33.92796159,18.86581549,146.232.146.140,8098,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Voedselwetenskap,-,Energy,2943,Voedselwetenskap,Elster,Kocos,A1140,68508103,LiMo R2,-,-,-,-,-,-33.9275,18.86583,146.232.146.140,8099,Local,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,-,-,Energy,2676,Instandhouding 11 kV,Elster,Kocos,A1700,51500263,LiMo R2,-,-,-,-,-,-33.92524294,18.86514925,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),IKT Gebou (i),Energy,2941,IKT (UPS),Elster,Kocos,A1140,88500420,LiMo R2,-,0,-,-,-,-33.92475379,18.86551369,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),IKT Gebou (i),Energy,2939,IKT (Warm Water 2),Elster,Kocos,A1140,78520209,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),IKT Gebou (i),Energy,2940,IKT HVAC,Elster,Kocos,A1140,88501437,LiMo R2,7628,155,-1,8,IKT HVAC,-33.9247574,18.86551548,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),IKT Gebou (i),Energy,2662,IKT Gebou,Elster,Kocos,A1140,98154636,LiMo R2,7628,152,1,K1011,IKT gebou,-33.92543487,18.86500809,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),Instandhouding Kantoor (i),Energy,3976,Instandhouding Kantoor,Elster,Kocos,A1140,48101728,LiMo R2,7628,152,1,K1011,Instandhouding kantore,-33.92544201,18.86499597,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),Launch Lab Main Incomer (i),Energy,6400,Launch Lab - Kitchen,Elster,Kocos,A1140,58108327,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),Launch Lab Main Incomer (i),Energy,6378,Launch Lab - HVAC,Elster,Kocos,A1140,58108992,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Instandhouding 11 kV  (i),-,Instandhouding Toevoer (i),Launch Lab Main Incomer (i),Energy,2663,Launch Lab - Main Incomer,Elster,Kocos,A1140,98154634,LiMo R2,-,152,1,K1011,Launch lab,-33.92543366,18.86500753,-,0,-,2022/05/01 00:00
